,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17,W.18,W.19,W.20,W.21,W.22,W.23,W.24,W.25,W.26,W.27,W.28,W.29,W.30,W_m.1,W_m.2,W_m.3,W_m.4,W_m.5,W_m.6,W_m.7,W_m.8,W_m.9,W_m.10,W_m.11,W_m.12,W_m.13,W_m.14,W_m.15,W_m.16,W_m.17,W_m.18,W_m.19,W_m.20,W_m.21,W_m.22,W_m.23,W_m.24,W_m.25,W_m.26,W_m.27,W_m.28,W_m.29,W_m.30,dety
1,0.273810281,0.167704177,0.035368701,0.002283507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523268842,0.320493337,0.067591835,0.004363928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
2,0.167704177,0.42441831,0.299472511,0.066168779,0.000569556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567188091,0.489801853,0.114195221,0.001004175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
3,0.035368701,0.299472511,0.626339428,0.43049377,0.045445006,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617952196,0.605654897,0.072745367,0.00061588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
4,0.002283507,0.066168779,0.43049377,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734100101,0.556805964,0.061656491,0.000518437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
5,0,0.000569556,0.045445006,0.452924574,0.918788396,0.452924574,0.045634858,0.000379704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776828564,0.538792069,0.058373483,0.000488787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
6,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.452930615,0.045634858,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790368021,0.533229418,0.05740554,0.000481528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
7,0,0,0,0.000380585,0.045634858,0.452930615,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79437967,0.5315918,0.057124173,0.000479097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
8,0,0,0,0,0.000379704,0.045634858,0.452924574,0.918788396,0.452924574,0.045634858,0.000379704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795551959,0.531115767,0.057042376,0.000477284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
9,0,0,0,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.452930615,0.045634858,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795885069,0.530990161,0.057019998,0.00047819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
10,0,0,0,0,0,0,0.000380585,0.045634858,0.452930615,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795974743,0.53094686,0.057013282,0.000478136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
11,0,0,0,0,0,0,0,0.000379704,0.045634858,0.452924574,0.918788396,0.452924574,0.045445006,0.000569556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796010251,0.530930705,0.056772058,0.000715513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
12,0,0,0,0,0,0,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.43049377,0.066168779,0.002283507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796016487,0.502909786,0.082647649,0.002868668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
13,0,0,0,0,0,0,0,0,0,0.000380585,0.045445006,0.43049377,0.626339428,0.299472511,0.035368701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608438887,0.423818371,0.055759125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
14,0,0,0,0,0,0,0,0,0,0,0.000569556,0.066168779,0.299472511,0.42441831,0.167704177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48781672,0.294855304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
15,0,0,0,0,0,0,0,0,0,0,0,0.002283507,0.035368701,0.167704177,0.273810281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428664579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273810281,0.167704177,0.035368701,0.002283507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523268842,0.320493337,0.067591835,0.004363928,0,0,0,0,0,0,0,0,0,0,0,5.07E-11
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167704177,0.42441831,0.299472511,0.066168779,0.000569556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567188091,0.489801853,0.114195221,0.001004175,0,0,0,0,0,0,0,0,0,0,5.07E-11
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035368701,0.299472511,0.626339428,0.43049377,0.045445006,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617952196,0.605654897,0.072745367,0.00061588,0,0,0,0,0,0,0,0,0,5.07E-11
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002283507,0.066168779,0.43049377,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734100101,0.556805964,0.061656491,0.000518437,0,0,0,0,0,0,0,0,5.07E-11
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569556,0.045445006,0.452924574,0.918788396,0.452924574,0.045634858,0.000379704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776828564,0.538792069,0.058373483,0.000488787,0,0,0,0,0,0,0,5.07E-11
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.452930615,0.045634858,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790368021,0.533229418,0.05740554,0.000481528,0,0,0,0,0,0,5.07E-11
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045634858,0.452930615,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79437967,0.5315918,0.057124173,0.000479097,0,0,0,0,0,5.07E-11
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379704,0.045634858,0.452924574,0.918788396,0.452924574,0.045634858,0.000379704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795551959,0.531115767,0.057042376,0.000477284,0,0,0,0,5.07E-11
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.452930615,0.045634858,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795885069,0.530990161,0.057019998,0.00047819,0,0,0,5.07E-11
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045634858,0.452930615,0.918780405,0.452924574,0.045635047,0.000380585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795974743,0.53094686,0.057013282,0.000478136,0,0,5.07E-11
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379704,0.045634858,0.452924574,0.918788396,0.452924574,0.045445006,0.000569556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796010251,0.530930705,0.056772058,0.000715513,0,5.07E-11
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045635047,0.452924574,0.918780405,0.43049377,0.066168779,0.002283507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796016487,0.502909786,0.082647649,0.002868668,5.07E-11
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380585,0.045445006,0.43049377,0.626339428,0.299472511,0.035368701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608438887,0.423818371,0.055759125,5.07E-11
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569556,0.066168779,0.299472511,0.42441831,0.167704177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48781672,0.294855304,5.07E-11
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002283507,0.035368701,0.167704177,0.273810281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428664579,5.07E-11
