bic,"[-23945.80326696 -24166.25667872 -23404.63558345 -23705.32093627
 -23404.6355835  -23772.98930438 -23826.67638207 -23716.46270151
 -23708.06750881 -23467.17208329 -23716.47166782 -23716.71060038
 -23705.32093581 -23404.63558418 -23501.24513964 -23772.98930401
 -23772.98930352 -23708.06750877 -23512.60580024 -23700.28184542
 -23453.6797846  -23622.80093373 -23772.98930403 -23786.54643691
 -23687.40343687 -23708.06751034 -23716.43842171 -23656.36977645
 -23404.6355832  -23404.63558322 -23717.41974993 -23654.48744605
 -23717.45289549 -23716.89033604 -23521.35933101 -23687.40343667
 -23732.9842321  -23453.67978409 -23772.98930471 -23705.32093607
 -23644.30399035 -23716.71117944 -23795.54979487 -23404.63558288
 -23404.63558425 -23480.91266079 -23774.18570571 -23772.98930336
 -23658.00302017 -23772.98930443]"
icl,"[-23933.93500546 -24157.11348788 -23387.84996236 -23689.12501266
 -23387.84996248 -23758.76952989 -23817.8402817  -23703.50794046
 -23693.70084571 -23452.59580669 -23703.50958691 -23703.46692343
 -23689.1250122  -23387.84996395 -23485.30522973 -23758.76952965
 -23758.76952922 -23693.70084567 -23500.0463158  -23689.80771124
 -23437.15861691 -23609.04272047 -23758.76952961 -23774.51233747
 -23674.00496248 -23693.70084757 -23703.50217737 -23646.2240523
 -23387.84996183 -23387.84996187 -23704.02063201 -23644.19068216
 -23704.69714708 -23703.34026146 -23509.75487995 -23674.00496238
 -23721.6560405  -23437.15861612 -23758.76953014 -23689.12501246
 -23632.12210623 -23703.46663793 -23786.01456962 -23387.84996114
 -23387.84996409 -23469.89205435 -23766.05874477 -23758.76952909
 -23646.74405938 -23758.76952993]"
time,20.7990625
c,l
50.0,49.0,4.0,0.0,0.0,19.0,50.0,49.0,50.0,50.0,30.0,8.0,50.0,49.0,48.0,50.0,30.0,19.0,50.0,45.0,45.0,50.0,29.0,31.0,50.0,22.0,0.0,50.0,0.0,0.0,0.0,43.0,1.0,50.0,8.0,19.0,0.0,50.0,4.0,0.0,43.0,50.0,0.0,0.0,50.0,50.0,0.0,49.0,50.0,0.0,9.0,50.0,50.0,48.0,50.0,49.0,29.0,0.0,34.0,35.0,50.0,27.0,41.0,0.0,28.0,46.0,50.0,50.0,49.0,0.0,0.0,0.0,50.0,48.0,45.0,50.0,0.0,0.0,50.0,49.0,43.0,50.0,25.0,19.0,0.0,48.0,50.0,50.0,50.0,50.0,0.0,0.0,13.0,50.0,25.0,46.0,50.0,0.0,0.0,50.0,49.0,50.0,50.0,16.0,16.0,50.0,50.0,21.0,50.0,0.0,0.0,0.0,49.0,14.0,50.0
0.0,0.0,45.0,50.0,50.0,26.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,24.0,43.0,0.0,33.0,28.0,50.0,0.0,49.0,0.0,42.0,29.0,50.0,0.0,46.0,50.0,1.0,0.0,50.0,27.0,0.0,0.0,43.0,1.0,0.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,5.0,9.0,0.0,23.0,7.0,50.0,21.0,1.0,0.0,0.0,1.0,50.0,25.0,23.0,0.0,1.0,0.0,0.0,50.0,23.0,0.0,0.0,1.0,0.0,19.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,23.0,30.0,0.0,24.0,1.0,0.0,41.0,46.0,0.0,0.0,0.0,0.0,29.0,20.0,0.0,0.0,28.0,0.0,39.0,23.0,50.0,1.0,32.0,0.0
0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,23.0,0.0,1.0,2.0,0.0,3.0,14.0,0.0,5.0,5.0,0.0,4.0,2.0,0.0,4.0,7.0,0.0,17.0,22.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,11.0,6.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,1.0,5.0,0.0,0.0,27.0,0.0,1.0,6.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,0.0,1.0,3.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,1.0,0.0,11.0,27.0,0.0,0.0,4.0,0.0
converged,43
